MAIOR PILHA, TEMPO
14, 0.001
14, 0.00198
14, 0.002
14, 0.00199
14, 0.00205
14, 0.002
14, 0.001
14, 0.000999
14, 0.00102
14, 0.00201
14, 0.004
14, 0.002
14, 0.004
14, 0.00302
14, 0.00102
14, 0.00202
14, 0.004
14, 0.002
14, 0.00202
14, 0.00202
14, 0.002
14, 0.00298
14, 0.003
12, 0.004
14, 0.005
14, 0.005
14, 0.004
12, 0.00999
14, 0.00298
14, 0.003
14, 0.003
14, 0.00102
12, 0.000999
14, 0.00202
14, 0.000977
12, 0.00198
14, 0.00202
14, 0.003
14, 0.00202
14, 0.002
14, 0.002
14, 0.002
14, 0.00202
14, 0.003
14, 0.002
12, 0.002
14, 0.00201
14, 0.004
14, 0.00202
13, 0.00402
12, 0.002
12, 0.0
14, 0.0
14, 0.001
14, 0.000999
14, 0.001
14, 0.000998
14, 0.001
14, 0.001
14, 0.0
14, 0.00098
14, 0.00102
14, 0.0
14, 0.00098
14, 0.001
14, 0.000997
14, 0.00102
14, 0.0
14, 0.0
14, 0.000979
14, 0.000998
14, 0.0
14, 0.001
14, 0.0
14, 0.001
12, 0.000998
14, 0.001
14, 0.001
14, 0.031
14, 0.00102
14, 0.0
12, 0.0
13, 0.0
11, 0.001
13, 0.0
13, 0.000999
14, 0.0
14, 0.001
14, 0.000999
14, 0.00198
12, 0.002
12, 0.003
11, 0.002
12, 0.002
13, 0.00102
11, 0.00198
13, 0.003
13, 0.00198
12, 0.000999
14, 0.002
11, 0.001
13, 0.002
12, 0.002
12, 0.000998
14, 0.001
11, 0.001
13, 0.002
12, 0.003
12, 0.004
12, 0.002
14, 0.0
14, 0.0
12, 0.000999
12, 0.002
14, 0.00399
12, 0.00202
9, 0.000999
13, 0.002
13, 0.001
13, 0.002
12, 0.00202
12, 0.0
9, 0.001
13, 0.000998
13, 0.001
13, 0.0
12, 0.002
12, 0.0
12, 0.002
12, 0.0
12, 0.000999
14, 0.0
12, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000999
14, 0.007
14, 0.002
